sku_code,sku_name,sku_variant,recipe_kind,role,refcode,component_name,unit,units_per_pack,component_lead_time_days,sku_lead_time_days
NSMP100,Moringa Powder,100 g,raw,INPUT,NSMLPR,Moringa Leaves Powder,KG,0.10,25,25
NSMP100,Moringa Powder,100 g,raw,PKG1,NSPKGMP100,Moringa Powder Empty Pouch 100g,Pcs,1,14,25
NSMP100,Moringa Powder,100 g,raw,PKG2,NSPKGCB100,100g Carton Box,Pcs,1,14,25
NSMP250,Moringa Powder,250 g,raw,INPUT,NSMLPR,Moringa Leaves Powder,KG,0.25,25,25
NSMP250,Moringa Powder,250 g,raw,PKG1,NSPKGMP250,Moringa Powder Empty Pouch 250g,Pcs,1,14,25
NSMP250,Moringa Powder,250 g,raw,PKG2,NSPKGCB250,250g Carton Box,Pcs,1,14,25
NSSB100,Sea Buckthorn Powder,100 g,raw,INPUT,NSSBPR,SB Powder (Raw),KG,0.10,50,50
NSSB100,Sea Buckthorn Powder,100 g,raw,PKG1,NSPKGSBP100,SB Powder Empty Pouch 100g,Pcs,1,14,50
NSSB250,Sea Buckthorn Powder,250 g,raw,INPUT,NSSBPR,SB Powder (Raw),KG,0.25,50,50
NSSB250,Sea Buckthorn Powder,250 g,raw,PKG1,NSPKGSBP250,SB Powder Empty Pouch 250g,Pcs,1,14,50
NSSB500,Sea Buckthorn Powder,500 g,raw,INPUT,NSSBPR,SB Powder (Raw),KG,0.50,50,50
NSSB500,Sea Buckthorn Powder,500 g,raw,PKG1,NSPKGSBP500,SB Powder Empty Pouch 500g,Pcs,1,14,50
NSSBDB100,Sea Buckthorn Dry Berry,100 g,raw,INPUT,NSSBDBR,SB Dry Berries (Raw),KG,0.10,50,50
NSSBDB100,Sea Buckthorn Dry Berry,100 g,raw,PKG1,NSPKGDBP100,Dry Berries Empty Pouch 100g,Pcs,1,14,50
NSSBDB250,Sea Buckthorn Dry Berry,250 g,raw,INPUT,NSSBDBR,SB Dry Berries (Raw),KG,0.25,50,50
